anchor_player_id,anchor_player_name,partner_player_id,partner_player_name,pair_key,ball_companion_fit_score,ball_companion_rank_for_anchor,ball_CB_pair_fit_z_score,ball_coverage_gain_raw,ball_coverage_gain_z_within_anchor,ground_companion_fit_score,ground_companion_rank_for_anchor,ground_CB_pair_fit_z_score,ground_coverage_gain_raw,ground_coverage_gain_z_within_anchor,aerial_companion_fit_score,aerial_companion_rank_for_anchor,aerial_CB_pair_fit_z_score,aerial_coverage_gain_raw,aerial_coverage_gain_z_within_anchor,ground_companion_fit_score_z_within_anchor,aerial_companion_fit_score_z_within_anchor,ball_companion_fit_score_z_within_anchor,global_companion_fit_score_z_within_anchor,global_companion_rank_for_anchor,global_companion_rank_for_anchor_z_score
578325,W. Saliba,145787,J. Andersen,145787__578325,1.604543989584105,2,1.673478252836417,0.1556898033376796,1.4765232149726677,-0.5183417432056162,70,-0.1542806224569461,0.0,-1.1944552531674322,0.9464745459789518,15,0.9782099898292144,0.152106438557952,0.8875372931141783,-1.4330550451816175,0.9430864907549461,1.9588773132682877,0.4896362529472054,14,0.977897823397447
578325,W. Saliba,400549,Pau Torres,400549__578325,0.907513837232924,24,0.8591347543702574,0.1231288863863547,0.9973607054064484,1.021193511968288,4,0.6336829036716998,0.1899721570527955,1.7408560702333804,-0.2167354597565237,61,0.1138542107302972,0.0,-0.8306877049463341,1.7406989443518814,-1.1815616504535276,0.7755815288002293,0.44490627423286105,15,0.9220179477747358
578325,W. Saliba,623641,E. Agbadou,578325__623641,0.6950939139035734,31,0.6076415196126326,0.1136251929002186,0.8575055033010351,0.6934712618272317,13,1.2078873888094963,0.0603563464600285,-0.2618729739969741,0.1998732897578111,35,0.7547907484446585,0.0,-0.8306877049463341,1.0650990869607735,-0.4206096289764113,0.4149721649659807,0.35315387431678097,16,0.8661380721520245
578325,W. Saliba,590703,I. Zabarnyi,578325__590703,1.0796718290545888,14,0.8659826212525461,0.1556898033376796,1.4765232149726677,0.3642514257082468,27,0.5943915307624978,0.0732175113827264,-0.0631516265353621,0.161327963039667,36,0.6954902458013599,0.0,-0.8306877049463341,0.38641195407133117,-0.4910141615717077,1.0678412327712943,0.32107967509030594,17,0.8102581965293132
578325,W. Saliba,234399,A. Webster,234399__578325,1.3926504704591611,6,1.3474882234134269,0.1556898033376796,1.4765232149726677,-0.2742986895630737,59,-0.2809894594832812,0.0603563464600285,-0.2618729739969741,0.5049175390705466,23,0.903342537803016,0.0527321593053925,-0.2350146014326108,-0.929959963394441,0.1365655105882188,1.5991615863504618,0.2685890445147465,18,0.754378320906602
578325,W. Saliba,393247,I. Konaté,393247__578325,0.4732185853831866,35,0.7930378461158446,0.0471502658785379,-0.1207314702631782,0.0474724188879382,40,0.2140430150567371,0.0603563464600285,-0.2618729739969741,0.9294958936937338,16,1.1051041932107135,0.1269500976909022,0.6033661945907712,-0.26662839256421733,0.9120743245595525,0.03831106927300251,0.22791900042277924,19,0.6984984452838907
578325,W. Saliba,136441,B. Davies,136441__578325,0.4686989842766312,36,0.6343788037561748,0.0662955282049457,0.1610078909574787,-0.3987211476342933,64,-0.4724086257466959,0.0603563464600285,-0.2618729739969741,1.405249412891957,6,1.2048274758595767,0.2308872817366328,1.7774615816663777,-1.1864570272739503,1.7810565592840382,0.03063848162550326,0.20841267121186371,20,0.6426185696611795
578325,W. Saliba,192792,D. Burn,192792__578325,-0.0858684214184502,71,0.3065196208530652,0.0,-0.8145890713512648,-0.0692681049092569,48,0.1438891629950278,0.0472015305540699,-0.4651316024457857,1.4874502566094403,2,1.3312903123480124,0.2308872817366328,1.7774615816663777,-0.5072891386539367,1.9311995850050838,-0.9108089882563435,0.17103381936493456,21,0.5867386940384682
578325,W. Saliba,9433,J. Tarkowski,9433__578325,-0.0870256220726925,72,0.3047393121542309,0.0,-0.8145890713512648,0.0184513479609661,41,0.1693952136306262,0.0603563464600285,-0.2618729739969741,1.334075382591289,10,1.15353836049736,0.2213174137708974,1.6693584236228716,-0.3264553691309918,1.6510544354757783,-0.9127734809706539,0.1372751951247109,22,0.530858818415757
578325,W. Saliba,496001,M. Kilman,496001__578325,0.0248700335022661,57,0.4768864745772442,0.0,-0.8145890713512648,-0.0427075285595587,46,0.0964295220011559,0.0578172716091851,-0.3011049081723145,1.261872497171669,11,1.0698063431585338,0.2168210669347388,1.6185667831960628,-0.4525344749521031,1.5191730679322724,-0.7228166231568056,0.11460732327445451,23,0.4749789427930457
