,player.id,player.name,minutes_played,total_duels,yellow_cards,red_cards,duel_success_rate,possession_win_rate,discipline,card_discipline,duels_per90,interceptions_per90,z_duel_success_rate,z_possession_win_rate,z_discipline,z_card_discipline,z_duels_per90,z_interceptions_per90,CB_ground_duels_quality_z_score,CB_rank_for_ground_duels_quality,CB_rank_for_ground_duels_quality_z_score
47,15806,J. Vestergaard,1396.0,77,4,0,0.7532467532467533,0.33766233766233766,0.922077922077922,0.948051948051948,4.964183381088826,3.7392550143266474,1.2171598093546276,0.9748462672548729,-2.787966579112424,-4.874834061821093,-0.06549412984456035,0.31291230135072207,-0.2330007068558257,46,-0.3952419717289855
48,8136,J. Stephens,1393.0,96,1,0,0.6666666666666666,0.25,0.9791666666666666,0.9895833333333334,6.202440775305097,4.1349605168700645,-0.029900852610601186,-0.3246052482507754,0.20422199221903223,-0.4949693727289972,0.7106305403818352,0.6686683163776712,0.03743555160812312,37,0.023249527748763855
49,136441,B. Davies,1350.0,66,0,0,0.4393939393939394,0.16666666666666666,0.9545454545454546,1.0,4.4,1.9333333333333331,-3.3034350902693235,-1.5598863185462684,-1.0862479603457154,0.6035634646002853,-0.41911740933397706,-1.310687816796381,-2.4632546866483067,74,-1.6972155256597614
50,286380,I. Diop,1345.0,55,0,0,0.7090909090909091,0.2909090909090909,0.9636363636363636,1.0,3.680297397769517,2.6096654275092934,0.5811588717523611,0.2818054589851936,-0.6097667470910405,0.6035634646002853,-0.8702182446096295,-0.7026366041841148,0.03599973086900789,38,-0.023249527748763855
51,545267,R. Drăgușin,1267.0,60,0,0,0.6333333333333333,0.2,1.0,1.0,4.262036306235201,2.6992896606156274,-0.5100192074672137,-1.065773890428071,1.2961581059276701,0.6035634646002853,-0.5055913741385181,-0.6220606207448717,-0.7074591336584436,58,-0.953230637699318
52,769441,L. Yoro,1219.0,68,0,0,0.5588235294117647,0.25,1.0,1.0,5.02050861361772,2.80557834290402,-1.5832249418525828,-0.3246052482507754,1.2961581059276701,0.6035634646002853,-0.030190159340445805,-0.5265025913256696,-0.5315650024353652,53,-0.7207353602116795
53,518805,L. Woolfenden,1180.0,46,0,0,0.6086956521739131,0.13043478260869565,1.0,1.0,3.508474576271187,2.135593220338983,-0.8648892958394917,-2.0969650447617,1.2961581059276701,0.6035634646002853,-0.9779146987520778,-1.1288476075032687,-1.6231055795758424,69,-1.4647202481721229
54,583655,C. Okoli,1145.0,86,1,0,0.7441860465116279,0.3023255813953488,0.9767441860465116,0.9883720930232558,6.759825327510917,5.03056768558952,1.0866534610094287,0.4510363540277896,0.07725267667151618,-0.6227057491626412,1.0599923966409972,1.4738571129075928,1.0683549037112343,9,1.3252230816795396
55,412968,M. Senesi,1133.0,131,2,0,0.6793893129770993,0.29770992366412213,0.9389312977099237,0.9847328244274809,10.406001765225065,7.069726390114739,0.1533504278690228,0.3826167385596212,-1.9046317235693997,-1.0064999305693585,3.3453714289214904,3.307147198758274,1.1613082645183272,6,1.4647202481721229
56,482177,J. Kiwior,1121.0,61,0,0,0.639344262295082,0.2459016393442623,0.9672131147540983,1.0,4.897413024085638,3.131132917038358,-0.4234404877389711,-0.38535677629809484,-0.4222987287613326,0.6035634646002853,-0.10734497729522115,-0.23381523362303058,-0.40780145216762054,49,-0.5347391382215686
