pair_key,pair_name,player.id_CB1,player.name_CB1,player.id_CB2,player.name_CB2,passes_per90,pass_accuracy_rate,progressive_passes_per90,final_third_passes_per90,progressive_pass_accuracy,long_pass_accuracy,z_passes_per90,z_pass_accuracy_rate,z_progressive_passes_per90,z_final_third_passes_per90,z_progressive_pass_accuracy,z_long_pass_accuracy,quality_raw,complement_raw,floor_raw,quality_z,complement_z,floor_z,CB_pair_fit_z_score,CB_pair_fit_rank,CB_pair_fit_rank_z_score,team_CB1_id,team_CB2_id,same_dominant_team,CB_dominant_playing_side_CB1,CB_dominant_playing_side_CB2,opposite_side_pair,shared_matches,shared_minutes_overlap,evidence_band
568412__625787,J. Gvardiol + M. van de Ven,568412,J. Gvardiol,625787,M. van de Ven,72.85684574978015,0.9386866843960666,10.729557032729346,10.809954285080456,0.8003997715591091,0.5112859097127223,1.7254211788803493,1.142607865204404,1.4708585796673468,1.749759869775317,1.0932934535384895,-0.22406093839828128,1.2150215102181767,0.7266857829632895,0.48833572725488705,2.5577071145888413,0.6307112056935745,1.9840143401221795,1.864869787026929,21,1.7134996426527391,1625,1624,False,left,left,False,0,0.0,none
400549__568412,Pau Torres + J. Gvardiol,400549,Pau Torres,568412,J. Gvardiol,68.62297221145353,0.9275226788102209,10.547737709373289,11.085573775733282,0.831482593037215,0.5806136408051593,1.367550702501719,0.8210695676597739,1.3889548226718011,1.852451003108585,1.4461869052148455,0.501161253006144,1.2102694400139322,0.7314378531675336,0.4788315868463986,2.5477036671863016,0.6490117208903573,1.9660771889489495,1.8617707876500478,22,1.712594704895859,1614,1625,False,left,left,False,0,0.0,none
568412__777938,J. Gvardiol + Dean Huijsen,568412,J. Gvardiol,777938,Dean Huijsen,68.5328706381338,0.9047380539441421,11.450742240215924,12.507229612492772,0.824451731912277,0.5890170021496971,1.3599348177393362,0.16484188725441629,1.7957293188851464,2.3821357824429343,1.3663632362990723,0.5890669731763771,1.1846470773405815,0.7730059046159502,0.41164117272463097,2.4937667625709774,0.8090928485961268,1.8392688124210053,1.8574649983485279,23,1.7116897671389788,1625,1659,False,left,left,False,0,0.0,none
415953__568412,Igor Julio + J. Gvardiol,415953,Igor Julio,568412,J. Gvardiol,72.77239922548847,0.9349739742804655,10.759549375110016,10.27657982749516,0.7923669467787114,0.5656976744186046,1.7182832902298717,1.035676846524097,1.4843691652131028,1.5510336207327775,1.0020941631052633,0.34512859970397985,1.1976983556448808,0.7440089375365855,0.4536894181082955,2.5212406361548214,0.6974237414725453,1.9186264083317544,1.8535727221855254,24,1.7107848293820984,1651,1625,False,left,left,False,0,0.0,none
393247__568412,I. Konaté + J. Gvardiol,393247,I. Konaté,568412,J. Gvardiol,72.47415153627439,0.9333524027459954,10.164405827567814,11.100119427691176,0.8178284529670898,0.551567239635996,1.6930737411841403,0.9889734167800837,1.2162761396994903,1.8578704655750795,1.291166981350698,0.19731322024381545,1.1974726489681362,0.7442346442133297,0.45323800475480636,2.520765507469391,0.6982929517935722,1.9177744565281052,1.8534255305783882,25,1.7098798916252183,1612,1625,False,right,left,True,0,0.0,none
412968__568412,M. Senesi + J. Gvardiol,412968,M. Senesi,568412,J. Gvardiol,67.71925060121279,0.8774414715719063,12.66829491407928,13.920282578943795,0.8338145073980512,0.5545013554001997,1.2911631391409237,-0.6213362060173407,2.3441976361612715,2.90861527865379,1.4726618926412236,0.22800636180232034,1.1269674150161613,0.8701643668977886,0.25680304811837235,2.372346951107919,1.183256074109254,1.5470430319641746,1.8505589041795707,26,1.708974953868338,1659,1625,False,left,left,False,0,0.0,none
415917__568412,Gabriel Magalhaes + J. Gvardiol,415917,Gabriel Magalhaes,568412,J. Gvardiol,70.59628009689209,0.9303857686541345,9.961773844270784,11.32127603119035,0.8426916221033868,0.54889439573008,1.5343456307419987,0.9035303857819439,1.1249969488349163,1.9402696536864659,1.5734466830920968,0.16935318629800905,1.1889670937901535,0.7527401993913125,0.43622689439884127,2.502860705941764,0.7310483689279252,1.8856694112567918,1.8478787459006178,27,1.7080700161114577,1609,1625,False,left,left,False,0,0.0,none
568412__619747,J. Gvardiol + L. Colwill,568412,J. Gvardiol,619747,L. Colwill,74.6456911509543,0.9278871689809545,10.865760555234239,10.81602082128398,0.8005036877136176,0.5152485726221975,1.8766243147536381,0.8315673722397048,1.5322138856010952,1.7520201579598407,1.0944732476725338,-0.18260839071321616,1.151975852560851,0.789731440620615,0.36224441194023604,2.424991499451197,0.8735039184398198,1.74604237346118,1.8237553999497806,28,1.7071650783545775,1625,1610,False,left,left,False,0,0.0,none
8136__568412,J. Stephens + J. Gvardiol,8136,J. Stephens,568412,J. Gvardiol,68.13398978699163,0.9426536731634183,9.069421718191885,9.64566906249001,0.8175809649702577,0.5933292533659731,1.3262191956442613,1.2568624492624898,0.7230210183355064,1.3159670028492578,1.2883571690718452,0.6341764874742599,1.0965632673374648,0.8701116174786434,0.2264516498588214,2.3083440473100696,1.1830529328455104,1.489760879607268,1.8070400794301416,29,1.7062601405976974,1619,1625,False,left,left,False,0,0.0,none
482177__568412,J. Kiwior + J. Gvardiol,482177,J. Kiwior,568412,J. Gvardiol,69.44074658615247,0.9378406642159969,9.044465792904687,11.101008714746449,0.828500414250207,0.5406976744186047,1.4366735287728638,1.118241352101537,0.7117791766951713,1.8582017988031774,1.4123292528004894,0.08360908219753546,1.1103969982255584,0.8313102949559077,0.2790867032696507,2.3374650395033933,1.0336266487286634,1.5890989438048297,1.7966403031312617,30,1.705355202840817,1609,1625,False,left,left,False,0,0.0,none
