pair_key,pair_name,player.id_CB1,player.name_CB1,player.id_CB2,player.name_CB2,card_discipline,discipline,possession_win_rate,duel_success_rate,aerial_wins_per90,duels_per90,z_card_discipline,z_discipline,z_possession_win_rate,z_duel_success_rate,z_aerial_wins_per90,z_duels_per90,quality_raw,complement_raw,floor_raw,quality_z,complement_z,floor_z,CB_pair_fit_z_score,CB_pair_fit_rank,team_CB1_id,team_CB2_id,same_dominant_team,CB_dominant_playing_side_CB1,CB_dominant_playing_side_CB2,opposite_side_pair,shared_matches,shared_minutes_overlap,evidence_band
258154__447424,C. Bassey + Rúben Dias,447424,C. Bassey,258154,Rúben Dias,1.0,0.9939024390243902,0.36506456241033,0.4903156384505022,1.429581733224529,2.9397762361806032,0.17656294072911694,-0.16042446224492046,-0.3126081567162319,-0.978939265716601,-1.2194608615024507,-1.059976193843824,-0.5925036087553317,0.26961190883466946,-0.8621155175900013,-1.3244604181046165,-1.0672350454648931,-0.6461645351642201,-1.11163362972462,1926,1616,1625,False,left,right,True,0,0.0,none
412027__501419,E. Konsa + J. Todibo,412027,E. Konsa,501419,J. Todibo,1.0,1.0,0.3611111111111111,0.5053606237816765,1.1912861934347978,2.379464405676046,0.17656294072911694,0.53680623164123,-0.37199577142520307,-0.7756286871483532,-1.5401065934359712,-1.568764820898681,-0.6018798112967207,0.28462308667832026,-0.886502897975041,-1.3454196307654287,-1.0027027414734444,-0.6919403243921606,-1.1119087027031798,1927,1614,1633,False,right,right,False,0,0.0,none
285382__415847,W. Faes + C. Romero,285382,W. Faes,415847,C. Romero,1.0,0.9805194805194806,0.3069159755906744,0.5243310905961508,1.949079592928558,3.7554194140084904,0.17656294072911694,-1.6907100111638727,-1.1860995971189958,-0.5192710703835987,-0.520434888923698,-0.31933509004985905,-0.7804025224553844,0.5713230903948449,-1.3517256128502293,-1.7444826257724546,0.22980625861209678,-1.5651762605175794,-1.1163346874061142,1928,1631,1624,False,right,right,False,0,0.0,none
286380__288080,C. Burgess + I. Diop,288080,C. Burgess,286380,I. Diop,1.0,1.0,0.3038647342995169,0.538647342995169,1.884296686015476,3.513985005073652,0.17656294072911694,0.53680623164123,-1.2319344711236835,-0.32580823249419166,-0.6076054781099481,-0.5385685146504814,-0.5699994673366332,0.21276960733787703,-0.7827690746745102,-1.2741555016246853,-1.311597261273035,-0.49722906158976266,-1.1300027415122056,1929,1634,1616,False,left,right,True,0,0.0,none
501419__583655,J. Todibo + C. Okoli,501419,J. Todibo,583655,C. Okoli,1.0,0.9918032786885246,0.31420765027322406,0.4909404659188956,1.8656501478481178,3.763922267485279,0.17656294072911694,-0.4004547011237593,-1.0765661454950999,-0.9704956526915235,-0.6326958884633042,-0.31161411235319303,-0.7193522520058688,0.44977974780197416,-1.169131999807843,-1.608013133384341,-0.29270250212831744,-1.2224429856421948,-1.1363059144591046,1930,1633,1631,False,right,left,True,0,0.0,none
50102__415847,F. Schär + C. Romero,50102,F. Schär,415847,C. Romero,1.0,0.9805194805194806,0.3161838161838162,0.49450549450549447,2.2893751142515435,4.623483068070621,0.17656294072911694,-1.6907100111638727,-1.0468807463800434,-0.9223195987706263,-0.06254001349049186,0.46890619043279974,-0.6647772710109098,0.35927848155415143,-1.024055752565061,-1.48601826098436,-0.6817629266962515,-0.9501308467033186,-1.1375641778417191,1931,1613,1624,False,right,right,False,0,0.0,none
7953__558243,C. Coady + S. van den Berg,7953,C. Coady,558243,S. van den Berg,1.0,1.0,0.3141229464758877,0.45151033386327505,1.7902307726249833,3.882275073909015,0.17656294072911694,0.53680623164123,-1.0778385417129548,-1.5033351859172384,-0.7341786975487341,-0.20414438101770216,-0.7371148522800274,0.4762710195922923,-1.2133858718723198,-1.6477189860375558,-0.17881784749970156,-1.3055087306365367,-1.1386065933959957,1932,1631,1669,False,right,left,True,0,0.0,none
285382__447424,C. Bassey + W. Faes,447424,C. Bassey,285382,W. Faes,1.0,1.0,0.3328136073706591,0.5357902197023388,1.4120690107832083,2.635506627013009,0.17656294072911694,0.53680623164123,-0.7970727793791588,-0.36441800026196214,-1.2430256319983686,-1.3362668382221408,-0.6006026842200326,0.2501367076827934,-0.850739391902826,-1.342564788639629,-1.1509579627547615,-0.6248112317972809,-1.1415320295056992,1933,1616,1631,False,left,right,True,0,0.0,none
15806__258154,Rúben Dias + J. Vestergaard,258154,Rúben Dias,15806,J. Vestergaard,1.0,0.9939024390243902,0.35391260162601623,0.4964430894308943,1.5696554554564637,3.1685433148186384,0.17656294072911694,-0.16042446224492046,-0.48012972209867016,-0.8961358879432264,-1.0309804508772964,-0.8522452813075232,-0.5855303282371069,0.22151132003458684,-0.8070416482716939,-1.3088726075086095,-1.2740170748928845,-0.5427893552933843,-1.145199297280847,1934,1625,1631,False,right,left,True,0,0.0,none
400549__557788,Pau Torres + W. Fofana,400549,Pau Torres,557788,W. Fofana,1.0,0.9861111111111112,0.32539682539682535,0.4900793650793651,1.6414882390986145,3.2613779487354053,0.17656294072911694,-1.051330348877223,-0.9084855569513797,-0.982132148576155,-0.9343236879849502,-0.7679472112647774,-0.8188163897872448,0.6017594899906864,-1.420575879777931,-1.8303515488229816,0.36065082068320803,-1.6944101207112428,-1.1458625523487769,1935,1614,1610,False,left,right,True,0,0.0,none
